Geography Name,Percent Units Built in 1939 or Before
GeoID_Name,pysb39b
36047014000,83.71
36047014101,66.2
36047014102,44.79
36047014200,63.06
36047014300,58.04
36047014500,49.24
36047014700,50.15
36047014800,66.73
36047014901,65.88
36047014902,56.98
36047015000,62.32
36047015100,83.04
36047015200,39.03
36047015300,86.3
36047015400,N/A
36047015500,85.88
36047015700,86.9
36047015900,74.06
36047016000,66.42
36047016100,70.33
36047016200,46.3
36047016300,68.87
36047016400,16.67
36047016500,87.6
36047016600,67.17
36047016700,86.3
36047016800,1.82
36047016900,76.81
36047017000,47.36
36047017100,65.83
36047017200,64.28
36047017400,38.71
36047017500,N/A
36047017600,23.08
36047017700,N/A
36047017800,56.47
36047017900,18.36
36047018000,72.77
36047018100,86.77
36047018200,68.04
36047018300,74.67
36047018400,40.46
36047018501,27.95
36047018600,76.82
36047018700,69.04
36047018800,74.92
36047019000,55.14
36047019100,48.16
36047019200,44.05
36047019300,11.48
36047019400,51.26
36047019500,54.03
36047019600,50.22
36047019700,58.61
36047019800,71.31
36047019900,56.93
36047020000,77.6
36047020100,77.93
36047020200,56.06
36047020300,35.9
36047020400,62.62
36047020500,62.8
36047020600,85.97
36047020700,71.9
36047020800,73.68
36047021000,57.33
36047021100,40
36047021200,51.25
36047021300,68.12
36047021400,51.5
36047021500,65.92
36047021600,59.5
36047021700,61.02
36047021800,61.54
36047021900,65.54
36047022000,42.65
36047022100,68.75
36047022200,36.36
36047022400,41.25
36047022600,48.71
36047022700,53.24
36047022800,68.36
36047022900,65.16
36047023000,69.38
36047023100,63.55
36047023200,52.75
36047023300,27.05
36047023400,48.49
36047023500,37.79
36047023600,45.01
36047023800,49.6
36047024000,48.72
36047024100,39.15
36047024200,57.44
36047024300,60.39
36047024400,63.69
36047024500,73.6
36047024600,75.63
36047024700,56.58
36047024800,58.16
36047024900,80.19
36047025000,63.43
36047025100,35.73
36047025200,67.93
36047025300,43.19
36047025400,79.38
36047025500,3.49
36047025600,79.75
36047025700,34.15
36047025800,68.08
36047025901,44.53
36047025902,4.34
36047026000,78.37
36047026100,42.91
36047026200,73.26
36047026300,55.1
36047026400,78.94
36047026500,60.21
36047026600,58.1
36047026700,78.79
36047026800,77.61
36047026900,75.68
36047027000,66.18
36047027100,25.94
36047027200,64.85
36047027300,74.19
36047027400,60.54
36047027500,75.06
36047027600,65.97
36047027700,50.86
36047027800,46.47
36047027900,68.88
36047028000,36.69
36047028100,33.88
36047028200,35.7
36047028300,48.17
36047028400,63.95
36047028501,43.89
36047028502,5.66
36047028600,38.38
36047028700,44.53
36047028800,76.07
36047028900,51.81
36047029000,50.32
36047029100,59.7
36047029200,68.69
36047029300,59.55
36047029400,46.8
36047029500,87.25
36047029600,46.62
36047029700,83.9
36047029800,69.77
36047029900,55.74
36047030000,35.17
36047030100,71.89
36047030200,44.67
36047030300,47.2
36047030400,12.54
36047030500,50.75
36047030600,18.77
36047030700,42.29
36047030800,21.03
36047030900,33.41
36047031100,58.02
36047031300,72.53
36047031401,25.34
36047031402,N/A
36047031500,79.26
36047031701,75.76
36047031702,76.61
36047031900,63.58
36047032100,61.39
36047032300,74
36047032500,30.94
36047032600,18.96
36047032700,72.98
36047032800,14.37
36047032900,74.19
36047033000,10.75
36047033100,72.01
36047033300,60.79
36047033500,84.21
36047033600,51.5
36047033701,91.24
36047033702,82.16
36047033900,56.35
36047034000,1.71
36047034100,74.32
36047034200,9.18
36047034300,45.81
36047034500,81.59
36047034700,57.48
36047034800,44.06
36047034901,71.21
36047034902,80.96
36047035000,4.69
36047035101,71.23
36047035102,71.3
36047035200,9.89
36047035301,65.56
36047035302,73.47
36047035400,5.88
36047035500,79.2
36047035601,1.1
36047035602,7.73
36047035701,67.37
36047035702,N/A
36047035900,63.25
36047036001,47.49
36047036002,68.74
36047036100,47.22
36047036200,34.25
36047036300,42.31
36047036400,41.12
36047036501,33.28
36047036502,32.69
36047036600,26.94
36047036700,88.51
36047036900,68.01
36047037000,17.68
36047037100,47.1
36047037300,62.31
36047037401,25.29
36047037402,9.38
36047037500,67.7
36047037700,83.34
36047037900,59.61
36047038100,44.81
36047038200,5.18
36047038300,95.11
36047038500,66.57
36047038600,57.86
36047038700,67.21
36047038800,27.91
36047038900,31.89
36047039000,24.86
36047039100,12.23
36047039200,48.48
36047039300,44.39
36047039400,74.45
36047039500,63.9
36047039600,53.11
36047039700,73.46
36047039800,55.42
36047039900,67.95
36047040000,67.81
36047040100,46.05
36047040200,58.84
36047040300,42.21
36047040400,53.49
36047040500,46.65
36047040600,83.03
36047040700,N/A
36047040800,83.73
36047040900,71.13
36047041000,67.01
36047041100,63.67
36047041200,69.84
36047041300,56.64
36047041401,27.61
36047041402,63.13
36047041500,71.29
36047041600,63.77
36047041700,53.95
36047041800,69.03
36047041900,39.9
36047042000,73.44
36047042100,36.9
36047042200,58.7
36047042300,43.3
36047042400,68.25
36047042500,22.25
36047042600,83.48
36047042700,54.61
36047042800,69.87
36047042900,58.6
36047043000,58.81
36047043100,61.83
36047043200,54.33
36047043300,43.05
36047043400,57
36047043500,58.2
36047043600,65.97
36047043700,61.62
36047043800,42.06
36047043900,48.04
36047044000,49.84
36047044100,62.65
36047044200,43.28
36047044300,51.98
36047044400,41.68
36047044500,62.18
36047044600,41.63
36047044700,52.34
36047044800,22.1
36047044901,25.64
36047044902,N/A
36047045000,45.06
36047045200,29.49
36047045300,69.2
36047045400,76.02
36047045600,64.33
36047045800,20.74
36047046000,56.73
36047046201,29.64
36047046202,65.82
36047046400,60.12
36047046800,47.51
36047047000,40.55
36047047200,42.94
36047047400,61.76
36047047600,49.95
36047047700,37.55
36047047800,48.08
36047048000,49.96
36047048100,68.1
36047048200,46.38
36047048400,57.02
36047048500,49.67
36047048600,64.53
36047048800,31.09
36047048900,7.81
36047049000,32.6
36047049100,10.86
36047049200,33.33
36047049301,68.9
36047049302,46.1
36047049400,56.61
36047049500,52.44
36047049600,65.83
36047049700,49.7
36047049800,57.28
36047049900,40.15
36047050001,34.06
36047050002,55.54
36047050100,52.09
36047050202,52.46
36047050300,58.83
36047050401,40.24
36047050402,17.01
36047050500,43.62
36047050600,55.39
36047050700,13.92
36047050801,68.72
36047050803,77.76
36047050804,70.49
36047050900,12.4
36047051001,77.99
36047051002,76.47
36047051100,14.37
36047051200,74.83
36047051300,47.42
36047051400,53.84
36047051500,23.41
36047051601,70.34
36047051602,73.95
36047051700,30.21
36047051800,39.03
36047051900,26.06
36047052000,54.99
36047052300,49.83
36047052500,36.32
36047052600,40.6
36047052700,45.33
36047052800,73.73
36047052900,65.02
36047053000,64.48
36047053101,16.07
36047053102,10.06
36047053200,25.33
36047053300,78.7
36047053400,58.2
36047053500,66.06
36047053700,34.05
36047053800,54
36047053900,10.23
36047054200,33.75
36047054300,N/A
36047054400,41.94
36047054500,0.82
36047054600,35.91
36047054700,22.82
36047054800,71.41
36047054900,28.02
36047055000,54.33
36047055100,39.22
36047055200,40.18
36047055300,56.13
36047055400,45.47
36047055500,19.04
36047055600,36.88
36047055700,46.18
36047055800,67.82
36047056000,51.8
36047056100,74.08
36047056200,66.67
36047056301,50.95
36047056302,35.05
36047056400,52.52
36047056500,69.14
36047056600,41.12
36047056800,65.03
36047056900,71.32
36047057000,11.72
36047057100,60.06
36047057200,18.15
36047057300,72.73
36047057400,55.2
36047057500,58
36047057600,51.16
36047057800,45.32
36047057901,55.76
36047057902,N/A
36047058000,55.33
36047058200,60.88
36047058400,28.57
36047058600,35.99
36047058800,21.79
36047058901,81.62
36047058902,N/A
36047059000,32.91
36047059100,66.32
36047059200,46.12
36047059300,71.94
36047059402,17.62
36047059403,69.4
36047059404,44.71
36047059600,15.48
36047059800,14.7
36047060000,40.25
36047060600,12.55
36047060800,20.31
36047061002,5.82
36047061003,53.67
36047061004,57.98
36047061200,43.31
36047061600,29.12
36047062000,43.62
36047062200,14.89
36047062600,11.4
36047062800,68.51
36047063200,19.49
36047063600,74.56
36047063800,49.61
36047064000,69.17
36047064200,55.24
36047064400,65.13
36047064600,80.95
36047064800,70.08
36047065000,52.84
36047065200,55.02
36047065400,71.18
36047065600,65.15
36047065800,63.6
36047066000,61.46
36047066200,28.37
36047066600,N/A
36047067000,16.19
36047067200,40.11
36047067400,61.61
36047067600,31.51
36047067800,14.84
36047068000,53.56
36047068200,50.32
36047068600,16.64
36047068800,39.03
36047069000,37.21
36047069200,30.49
36047069601,6.51
36047069602,24.02
36047069800,46.81
36047070000,9.6
36047070201,6.95
36047070202,0
36047070203,N/A
36047070601,12.21
36047070602,N/A
36047072000,4.01
36047072200,7.87
36047072400,10.26
36047072600,48.71
36047072800,13.43
36047073000,43.32
36047073200,50.36
36047073400,50.16
36047073600,44.97
36047073800,62.33
36047074000,43.83
36047074200,76.76
36047074400,84
36047074600,47.12
36047074800,55.03
36047075000,76.14
36047075200,78.95
36047075400,80.04
36047075600,54.76
36047075800,42.94
36047076000,48.4
36047076200,49.82
36047076400,46.18
36047076600,45.49
36047076800,51.94
36047077000,67.9
36047077200,56.53
36047077400,60.58
36047077600,34.61
36047078000,65.16
36047078200,39.21
36047078400,66.71
36047078601,48.37
36047078602,26.33
36047078801,62
36047078802,46.29
36047079001,88.41
36047079002,68.43
36047079201,85.84
36047079202,73.39
36047079400,60.66
36047079601,70.57
36047079602,74.46
36047079801,89.14
36047079802,48.44
36047080000,84.69
36047080200,53.93
36047080400,69.63
36047080600,32.18
36047080800,0.43
36047081000,40.46
36047081400,63.74
36047081600,70.58
36047081800,51.1
36047082000,68.41
36047082200,74.73
36047082400,79.7
36047082600,62.57
36047082800,72.31
36047083000,44.37
36047083200,69.89
36047083400,42.23
36047083600,51.92
36047083800,60.63
36047084000,50.41
36047084600,48.02
36047084800,63.5
36047085000,57.23
36047085200,N/A
36047085400,53.47
36047085600,40.57
36047085800,53.18
36047086000,56.61
36047086200,70.73
36047086400,55.9
36047086600,56.49
36047086800,73.67
36047087000,53.42
36047087200,49.54
36047087401,34.45
36047087600,19.8
36047087800,52.62
36047088001,54.88
36047088002,46.7
36047088200,24.83
36047088400,46.81
36047088600,54.8
36047088800,74.6
36047089000,58.36
36047089200,51.84
36047089400,57.74
36047089600,40.59
36047089800,45.26
36047090000,38.34
36047090200,26.96
36047090600,10.7
36047090800,20.77
36047091000,19.28
36047091200,43.76
36047091600,25.85
36047091800,12.55
36047092000,11.97
36047092200,39.09
36047092400,19.66
36047092800,61.01
36047093000,66.15
36047093200,48.48
36047093400,63.19
36047093600,41.15
36047093800,46.27
36047094401,13.68
36047094402,8.22
36047094600,43.64
36047095000,34.22
36047095400,29.49
