GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,apci,TimeFrame,GeoVintage,Source,Location
Census Tract,36005020200,NY,36005020200,36005020200,23567,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020400,NY,36005020400,36005020400,22728,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020501,NY,36005020501,36005020501,13645,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020502,NY,36005020502,36005020502,26003,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020601,NY,36005020601,36005020601,25027,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020900,NY,36005020900,36005020900,19311,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021001,NY,36005021001,36005021001,30924,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021002,NY,36005021002,36005021002,30467,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021100,NY,36005021100,36005021100,15498,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021200,NY,36005021200,36005021200,29472,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021301,NY,36005021301,36005021301,16507,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021302,NY,36005021302,36005021302,13444,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021501,NY,36005021501,36005021501,19433,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021502,NY,36005021502,36005021502,14450,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021601,NY,36005021601,36005021601,22169,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021602,NY,36005021602,36005021602,25699,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021700,NY,36005021700,36005021700,20694,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021800,NY,36005021800,36005021800,25613,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021900,NY,36005021900,36005021900,19647,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022000,NY,36005022000,36005022000,24300,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022101,NY,36005022101,36005022101,14073,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022102,NY,36005022102,36005022102,13896,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022200,NY,36005022200,36005022200,19676,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022300,NY,36005022300,36005022300,14583,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022401,NY,36005022401,36005022401,31621,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022403,NY,36005022403,36005022403,31920,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022404,NY,36005022404,36005022404,31999,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022500,NY,36005022500,36005022500,20197,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022701,NY,36005022701,36005022701,20943,2017-2021,2020,Census,"New York (City, 2020)"
