change of median rent,College00_16,mdfami00_16,Geo_ID,NYC Neighborhood Tabulation Area name
0.536752137,0.841,-0.077102804,36005036501,East Tremont
0.911823647,0.084,0.718598502,36005036502,East Tremont
0.787828947,1.83,0.193160412,36005036700,East Tremont
0.834615385,-0.397,0.146084459,36005036800,Williamsbridge-Olinville
1.458549223,-0.206,0.182390671,36005036901,East Tremont
0.995283019,0.167,0.549404626,36005036902,East Tremont
1.071989529,-0.392,-0.012068461,36005037000,Williamsbridge-Olinville
0.791919192,0.942,0.93217473,36005037100,East Tremont
0.864457831,0.723,0.036506617,36005037200,Williamsbridge-Olinville
0.717241379,0.24,0.255010312,36005037300,East Tremont
0.750572082,0.671,0.105839686,36005037400,Williamsbridge-Olinville
1.194871795,0.487,0.037612863,36005037504,East Tremont
1.074498567,0.93,0.881019262,36005037600,Williamsbridge-Olinville
0.823170732,-0.268,0.161983331,36005037800,Williamsbridge-Olinville
0.901006711,0.333,0.166102115,36005037900,Mount Hope
0.708751793,0.488,-0.305414408,36005038000,Williamsbridge-Olinville
0.78030303,0.277,0.982052632,36005038100,Mount Hope
0.755610973,-0.004,0.108756571,36005038200,Williamsbridge-Olinville
0.986324786,0.713,0.489561965,36005038301,Fordham South
0.817094017,0.493,0.314770122,36005038302,Fordham South
0.869642857,0.552,0.479471033,36005038500,Claremont-Bathgate
0.852899576,0.34,0.506749687,36005038600,Eastchester-Edenwald-Baychester
0.899838449,-0.125,0.180689502,36005038700,Belmont
0.705202312,0.262,0.455393512,36005038800,Williamsbridge-Olinville
0.916139241,0.872,0.403637395,36005038900,Belmont
0.935843794,-0.021,-0.250439883,36005039000,Williamsbridge-Olinville
0.948275862,1.671,0.533620148,36005039100,Belmont
0.771349862,0.184,0.050922182,36005039200,Williamsbridge-Olinville
0.721495327,0.676,0.593754066,36005039300,Belmont
0.856687898,0.501,0.112069482,36005039400,Williamsbridge-Olinville
0.794425087,0.988,0.925111177,36005039500,Claremont-Bathgate
0.885925926,0.108,0.248288,36005039600,Williamsbridge-Olinville
0.923791822,-0.495,0.653677621,36005039700,Belmont
0.795727637,0.968,0.790543473,36005039800,Williamsbridge-Olinville
0.790046656,0.318,0.520435336,36005039901,Bedford Park-Fordham North
0.7828125,0.2,0.989452113,36005039902,Bedford Park-Fordham North
0.718130312,-0.194,-0.005644153,36005040100,Bedford Park-Fordham North
0.793363499,0.764,0.346553716,36005040302,Bedford Park-Fordham North
0.709489051,0.161,0.541715173,36005040303,Van Cortlandt Village
0.816058394,0.628,0.006519208,36005040304,Van Cortlandt Village
0.291166848,0.808,0.418629719,36005040400,Williamsbridge-Olinville
0.795731707,-0.105,0.452039863,36005040501,Bedford Park-Fordham North
0.702743902,0.468,-0.047337278,36005040502,Bedford Park-Fordham North
0.707042254,-0.19,0.726565429,36005040600,Williamsbridge-Olinville
0.710638298,0.523,1.024549918,36005040701,Van Cortlandt Village
0.600587372,0.02,0.129246038,36005040702,Bedford Park-Fordham North
0.724186704,0.382,0.480603015,36005040800,Williamsbridge-Olinville
0.776831346,0.46,0.188198719,36005040900,Van Cortlandt Village
0.82739726,1.088,0.143044795,36005041100,Bedford Park-Fordham North
0.713475177,-0.113,0.665067179,36005041300,Bedford Park-Fordham North
0.799442897,1.644,0.89839722,36005041400,Woodlawn-Wakefield
0.829787234,-0.039,0.285086635,36005041500,Bedford Park-Fordham North
0.910891089,0.379,-0.136887141,36005041800,Woodlawn-Wakefield
0.738686131,-0.058,0.411757521,36005041900,Norwood
0.68,0.158,0.837435462,36005042000,Williamsbridge-Olinville
0.624441133,-0.081,-0.097614018,36005042100,Norwood
0.673184358,0.484,0.523230481,36005042200,Williamsbridge-Olinville
0.703328509,0.334,0.136559828,36005042300,Norwood
0.693227092,0.325,0.28668496,36005042400,Williamsbridge-Olinville
0.78397711,0.227,0.294721678,36005042500,Norwood
0.735915493,0.201,0.331396241,36005042600,Woodlawn-Wakefield
0.424307036,0.691,0.151569155,36005042800,Woodlawn-Wakefield
0.725988701,0.628,0.575284295,36005042901,Norwood
0.779220779,0.859,-0.245875862,36005042902,Norwood
0.474600871,0.724,0.319610359,36005043000,Woodlawn-Wakefield
0.682336182,0.09,0.213531187,36005043100,Norwood
0.677285319,0.117,0.103391149,36005043400,Woodlawn-Wakefield
0.655043587,1.047,-0.008652369,36005043600,Woodlawn-Wakefield
0.684950774,0.016,0.136363636,36005044200,Woodlawn-Wakefield
0.660465116,0.069,0.189201985,36005044400,Woodlawn-Wakefield
0.543961353,0.181,0.329853516,36005044800,Woodlawn-Wakefield
0.652116402,0.167,0.55848957,36005044901,Woodlawn-Wakefield
0.630241423,1.041,0.335727633,36005044902,Woodlawn-Wakefield
0.941176471,0.383,0.560412198,36005045101,Woodlawn-Wakefield
0.865333333,0.722,0.862668838,36005045102,Woodlawn-Wakefield
0.642773208,0.124,0.338258428,36005045600,Eastchester-Edenwald-Baychester
0.791044776,1.992,0.851695219,36005045800,Eastchester-Edenwald-Baychester
0.456692913,-0.508,0.084533326,36005046000,Eastchester-Edenwald-Baychester
0.511290323,0.161,0.17550804,36005046201,Co-op City
0.682034976,0.247,-0.072573567,36005046202,Co-op City
0.486625514,0.018,0.256282454,36005048400,Eastchester-Edenwald-Baychester
0.536340852,0.122,0.5184,36005051600,Pelham Bay-Country Club-City Island
1.016371078,0.193,0.191465048,36047000100,Brooklyn Heights-Cobble Hill
0.771695594,1.332,0.459687947,36047000200,Sunset Park West
1.04757085,-0.062,0.247372581,36047000301,Brooklyn Heights-Cobble Hill
1.083608361,0.024,0.270388036,36047000501,Brooklyn Heights-Cobble Hill
1.198019802,0.111,0.204086542,36047000502,Brooklyn Heights-Cobble Hill
0.960148285,0.115,0.164091394,36047000700,Brooklyn Heights-Cobble Hill
1.961915125,0.133,0.748717093,36047000900,Brooklyn Heights-Cobble Hill
3.089871612,2.72,4.390161446,36047001100,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
1.044526902,-0.023,0.557983903,36047001300,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
7.104316547,2.72,3.749806028,36047001500,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
0.921597633,0.839,2.150130976,36047002000,Sunset Park West
1.735738255,0.324,1.330592321,36047002100,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
0.882352941,0.781,0.319125103,36047002200,Sunset Park West
0.539855072,5.364,0.975077605,36047002300,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
1.175213675,0.985,0.678052268,36047002901,Fort Greene
0.798988622,0.424,0.531179214,36047003000,Bay Ridge
1.939814815,0.595,0.925075175,36047003100,Fort Greene
1.495594714,0.354,2.661213481,36047003300,Fort Greene
0.696774194,0.206,0.801903733,36047003400,Bay Ridge
0.506265664,0.332,0.240250348,36047003500,Fort Greene
0.848167539,0.364,1.05180509,36047003600,Bay Ridge
2.195652174,1.158,4.466392416,36047003700,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
0.690285714,-0.019,0.309606959,36047003800,Bay Ridge
1,0.803,2.304322805,36047003900,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
1.195488722,0.138,0.960039328,36047004100,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
0.956262425,0.724,1.392244087,36047004300,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
0.438225977,0.186,0.048700479,36047004400,Bay Ridge
1.126091174,0.116,0.603546316,36047004500,Carroll Gardens-Columbia Street-Red Hook
0.380838323,0.397,1.057026729,36047004600,Bay Ridge
1.183908046,0.211,0.862485354,36047004700,Carroll Gardens-Columbia Street-Red Hook
0.910179641,0.312,0.531876387,36047004900,Carroll Gardens-Columbia Street-Red Hook
0.979976443,0.595,0.362182184,36047005000,Bay Ridge
1.402733964,0.407,0.625182021,36047005100,Carroll Gardens-Columbia Street-Red Hook
0.271393643,0.572,0.216956038,36047005201,Bay Ridge
0.953271028,0.64,0.542381776,36047005202,Bay Ridge
1.54028436,0.959,1.696748979,36047005300,Carroll Gardens-Columbia Street-Red Hook
0.835651075,0.415,0.473634901,36047005400,Bay Ridge
0.746359223,0.472,0.306810814,36047005601,Bay Ridge
0.650252525,0.211,1.334755568,36047005602,Bay Ridge
0.734126984,0.291,0.542416452,36047005800,Bay Ridge
2.727272727,3.999,1.810609278,36047005900,Carroll Gardens-Columbia Street-Red Hook
0.863102999,0.243,0.859890658,36047006000,Bay Ridge
0.997282609,0.559,0.779935843,36047006200,Bay Ridge
1.43418259,0.201,1.002664325,36047006300,Carroll Gardens-Columbia Street-Red Hook
0.657216495,0.123,0.270723558,36047006400,Bay Ridge
1.096078431,0.355,1.101719124,36047006500,Carroll Gardens-Columbia Street-Red Hook
0.797402597,0.236,0.619220533,36047006600,Bay Ridge
0.954901961,0.096,0.621859321,36047006700,Carroll Gardens-Columbia Street-Red Hook
0.834473324,0.29,0.000385421,36047006800,Bay Ridge
1.197433366,0.467,1.679410501,36047006900,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
0.738235294,0.728,-0.004782033,36047007000,Bay Ridge
0.409090909,0.519,0.908662242,36047007100,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
0.917271408,-0.322,-0.03724543,36047007200,Sunset Park West
1.004087193,1.114,-0.128467645,36047007400,Sunset Park West
1.24507874,0.231,1.287030023,36047007500,Carroll Gardens-Columbia Street-Red Hook
0.963581184,1.022,-0.121643236,36047007600,Sunset Park West
1.498269896,0.697,1.428042446,36047007700,Carroll Gardens-Columbia Street-Red Hook
1.115264798,1.265,0.427927928,36047007800,Sunset Park West
1.265988372,2.036,1.01318979,36047008000,Sunset Park West
0.925925926,0.524,0.366466667,36047008200,Sunset Park West
0.72244898,0.223,0.48359315,36047008400,Sunset Park West
0.845794393,0.491,0.551970534,36047008500,Carroll Gardens-Columbia Street-Red Hook
1.093294461,1.05,1.106541765,36047008800,Sunset Park East
0.929597701,0.646,0.36720395,36047009000,Sunset Park East
0.846953938,0.207,0.243652062,36047009200,Sunset Park East
0.789687924,0.504,0.132819195,36047009400,Sunset Park East
0.831737346,0.335,0.113671075,36047009600,Sunset Park East
0.927514793,0.084,0.19550327,36047009800,Sunset Park East
0.67877095,0.491,-0.196124913,36047010000,Sunset Park East
0.698478562,2.003,0.347730793,36047010100,Sunset Park West
0.70292887,0.402,0.440177765,36047010200,Sunset Park East
0.643153527,0.317,0.333911177,36047010400,Sunset Park East
0.686764706,0.391,0.227601259,36047010600,Sunset Park East
0.507331378,-0.051,-0.029019441,36047010800,Sunset Park East
0.919418758,0.073,0.833758574,36047011000,Sunset Park East
0.887772194,0.752,0.45474685,36047011200,Sunset Park East
0.890701468,-0.141,0.15610596,36047011400,Borough Park
0.678832117,0.035,0.166842877,36047011600,Borough Park
1.266225166,2.607,0.948364577,36047011700,Park Slope-Gowanus
0.809104258,-0.325,0.146614281,36047011800,Sunset Park East
1.200270636,1.375,2.074696349,36047011900,Park Slope-Gowanus
0.746955345,0.301,0.794054123,36047012000,Sunset Park East
1.510429448,2.255,1.797407666,36047012100,Park Slope-Gowanus
0.64868603,0.06,0.171648191,36047012200,Sunset Park West
