GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,pysb39b,TimeFrame,GeoVintage,Source,Location
Census Tract,36005018400,NY,36005018400,36005018400,44.3,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018501,NY,36005018501,36005018501,10.65,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018502,NY,36005018502,36005018502,24.88,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018900,NY,36005018900,36005018900,46.47,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005019300,NY,36005019300,36005019300,43.27,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005019400,NY,36005019400,36005019400,38.4,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005019500,NY,36005019500,36005019500,38.6,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005019700,NY,36005019700,36005019700,53.19,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005019900,NY,36005019900,36005019900,44.72,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020000,NY,36005020000,36005020000,43.25,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020100,NY,36005020100,36005020100,41.55,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020200,NY,36005020200,36005020200,61.98,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020400,NY,36005020400,36005020400,52.48,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020501,NY,36005020501,36005020501,28.09,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020502,NY,36005020502,36005020502,34.45,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020601,NY,36005020601,36005020601,57.21,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020900,NY,36005020900,36005020900,40.86,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021001,NY,36005021001,36005021001,27.16,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021002,NY,36005021002,36005021002,34.15,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021100,NY,36005021100,36005021100,38.37,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021200,NY,36005021200,36005021200,27.79,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021301,NY,36005021301,36005021301,35.16,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021302,NY,36005021302,36005021302,23.53,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021501,NY,36005021501,36005021501,55.94,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021502,NY,36005021502,36005021502,49.25,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021601,NY,36005021601,36005021601,52.59,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021602,NY,36005021602,36005021602,44.16,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021700,NY,36005021700,36005021700,49.31,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021800,NY,36005021800,36005021800,52.76,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021900,NY,36005021900,36005021900,92.07,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022000,NY,36005022000,36005022000,47.05,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022101,NY,36005022101,36005022101,26.46,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022102,NY,36005022102,36005022102,55.22,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022200,NY,36005022200,36005022200,56.73,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022300,NY,36005022300,36005022300,48.89,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022401,NY,36005022401,36005022401,31.93,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022403,NY,36005022403,36005022403,53.31,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022404,NY,36005022404,36005022404,51.19,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022500,NY,36005022500,36005022500,52.07,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022701,NY,36005022701,36005022701,46.09,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022702,NY,36005022702,36005022702,48.75,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022703,NY,36005022703,36005022703,49.64,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022800,NY,36005022800,36005022800,34.2,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022901,NY,36005022901,36005022901,48.44,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022902,NY,36005022902,36005022902,48.63,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023000,NY,36005023000,36005023000,42.74,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023100,NY,36005023100,36005023100,57.23,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023200,NY,36005023200,36005023200,64.53,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023301,NY,36005023301,36005023301,76.17,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023302,NY,36005023302,36005023302,75.07,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023501,NY,36005023501,36005023501,64.88,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023502,NY,36005023502,36005023502,47.65,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023600,NY,36005023600,36005023600,56.93,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023702,NY,36005023702,36005023702,82.6,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023703,NY,36005023703,36005023703,50.45,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023704,NY,36005023704,36005023704,48.29,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023800,NY,36005023800,36005023800,67.26,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023900,NY,36005023900,36005023900,68.18,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024000,NY,36005024000,36005024000,56.54,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024100,NY,36005024100,36005024100,61.7,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024300,NY,36005024300,36005024300,46.96,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024400,NY,36005024400,36005024400,40.44,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024501,NY,36005024501,36005024501,65.78,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024502,NY,36005024502,36005024502,69.26,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024600,NY,36005024600,36005024600,25.61,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024700,NY,36005024700,36005024700,9.95,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024800,NY,36005024800,36005024800,18.37,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024900,NY,36005024900,36005024900,N/A,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025000,NY,36005025000,36005025000,34.61,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025100,NY,36005025100,36005025100,48.19,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025200,NY,36005025200,36005025200,46.22,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025300,NY,36005025300,36005025300,65.79,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025400,NY,36005025400,36005025400,40.79,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025500,NY,36005025500,36005025500,54.1,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025600,NY,36005025600,36005025600,59.72,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025700,NY,36005025700,36005025700,65.62,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026100,NY,36005026100,36005026100,3.4,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026300,NY,36005026300,36005026300,68.07,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026400,NY,36005026400,36005026400,58.88,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026500,NY,36005026500,36005026500,51.78,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026601,NY,36005026601,36005026601,30.11,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026602,NY,36005026602,36005026602,23.96,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026701,NY,36005026701,36005026701,73.3,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026702,NY,36005026702,36005026702,69.75,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026900,NY,36005026900,36005026900,36.69,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005027300,NY,36005027300,36005027300,58.56,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005027401,NY,36005027401,36005027401,29.99,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005027402,NY,36005027402,36005027402,15.78,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005027600,NY,36005027600,36005027600,60.87,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005027700,NY,36005027700,36005027700,63.15,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005027900,NY,36005027900,36005027900,31,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005028100,NY,36005028100,36005028100,32.89,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005028300,NY,36005028300,36005028300,12.52,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005028400,NY,36005028400,36005028400,N/A,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005028500,NY,36005028500,36005028500,28.64,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005028600,NY,36005028600,36005028600,54.01,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005028700,NY,36005028700,36005028700,50.89,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005028800,NY,36005028800,36005028800,31.47,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005028900,NY,36005028900,36005028900,38.7,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005029301,NY,36005029301,36005029301,17.7,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005029302,NY,36005029302,36005029302,7.94,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005029500,NY,36005029500,36005029500,34.8,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005029600,NY,36005029600,36005029600,11.96,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005029700,NY,36005029700,36005029700,12.2,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005030000,NY,36005030000,36005030000,35.24,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005030100,NY,36005030100,36005030100,16.81,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005030201,NY,36005030201,36005030201,2,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005030202,NY,36005030202,36005030202,1.45,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005030701,NY,36005030701,36005030701,5.47,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005030900,NY,36005030900,36005030900,3.72,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005031000,NY,36005031000,36005031000,14.33,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005031200,NY,36005031200,36005031200,14.94,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005031400,NY,36005031400,36005031400,17.99,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005031600,NY,36005031600,36005031600,10.57,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005031800,NY,36005031800,36005031800,14.48,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005031900,NY,36005031900,36005031900,N/A,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005032300,NY,36005032300,36005032300,12.64,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005032400,NY,36005032400,36005032400,34.2,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005032600,NY,36005032600,36005032600,30.38,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005032800,NY,36005032800,36005032800,26.61,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033000,NY,36005033000,36005033000,30.77,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033201,NY,36005033201,36005033201,42.42,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033202,NY,36005033202,36005033202,26.69,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033400,NY,36005033400,36005033400,N/A,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033500,NY,36005033500,36005033500,59.77,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033601,NY,36005033601,36005033601,28.13,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033602,NY,36005033602,36005033602,5.22,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033700,NY,36005033700,36005033700,53.2,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033801,NY,36005033801,36005033801,48.34,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033802,NY,36005033802,36005033802,53.63,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005034000,NY,36005034000,36005034000,54.07,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005034200,NY,36005034200,36005034200,53.12,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005034300,NY,36005034300,36005034300,33.22,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005034400,NY,36005034400,36005034400,23.25,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005034500,NY,36005034500,36005034500,28.16,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005034800,NY,36005034800,36005034800,19.59,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005035000,NY,36005035000,36005035000,18.63,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005035100,NY,36005035100,36005035100,26.19,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005035600,NY,36005035600,36005035600,38.48,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005035800,NY,36005035800,36005035800,26.46,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005035900,NY,36005035900,36005035900,16.86,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005036000,NY,36005036000,36005036000,26.43,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005036100,NY,36005036100,36005036100,18.65,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005036300,NY,36005036300,36005036300,42.87,2017-2021,2020,Census,"New York (City, 2020)"
