Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Per Capita Income,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,apci,TimeFrame,GeoVintage,Source,Location
Census Tract,36005019600,NY,36005019600,36005019600,9830,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005019700,NY,36005019700,36005019700,9990,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005019800,NY,36005019800,36005019800,12497,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005019900,NY,36005019900,36005019900,8779,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005020100,NY,36005020100,36005020100,8941,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005020200,NY,36005020200,36005020200,17509,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005020400,NY,36005020400,36005020400,15088,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005020500,NY,36005020500,36005020500,12346,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005020601,NY,36005020601,36005020601,15538,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005020602,NY,36005020602,36005020602,15832,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005020800,NY,36005020800,36005020800,12669,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005021000,NY,36005021000,36005021000,17197,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005021100,NY,36005021100,36005021100,8641,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005021200,NY,36005021200,36005021200,16017,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005021301,NY,36005021301,36005021301,7412,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005021302,NY,36005021302,36005021302,9176,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005021400,NY,36005021400,36005021400,22650,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005021501,NY,36005021501,36005021501,8597,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005021502,NY,36005021502,36005021502,9095,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005021601,NY,36005021601,36005021601,12936,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005021602,NY,36005021602,36005021602,18142,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005021701,NY,36005021701,36005021701,9705,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005021702,NY,36005021702,36005021702,6463,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005021800,NY,36005021800,36005021800,11014,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005021900,NY,36005021900,36005021900,6511,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005022000,NY,36005022000,36005022000,7055,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005022100,NY,36005022100,36005022100,7566,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005022300,NY,36005022300,36005022300,9591,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005022401,NY,36005022401,36005022401,15393,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005022402,NY,36005022402,36005022402,15839,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005022500,NY,36005022500,36005022500,9118,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005022701,NY,36005022701,36005022701,8093,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005022702,NY,36005022702,36005022702,9673,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005022703,NY,36005022703,36005022703,18973,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005022800,NY,36005022800,36005022800,16161,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005022901,NY,36005022901,36005022901,10657,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005022902,NY,36005022902,36005022902,8963,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005023000,NY,36005023000,36005023000,11866,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005023100,NY,36005023100,36005023100,12008,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005023200,NY,36005023200,36005023200,15825,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005023301,NY,36005023301,36005023301,10914,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005023302,NY,36005023302,36005023302,11564,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005023400,NY,36005023400,36005023400,14071,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005023501,NY,36005023501,36005023501,12424,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005023502,NY,36005023502,36005023502,9270,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005023600,NY,36005023600,36005023600,18001,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005023701,NY,36005023701,36005023701,8436,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005023702,NY,36005023702,36005023702,7275,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005023900,NY,36005023900,36005023900,7902,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005024000,NY,36005024000,36005024000,14395,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005024100,NY,36005024100,36005024100,8004,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005024200,NY,36005024200,36005024200,20632,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005024300,NY,36005024300,36005024300,10759,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005024400,NY,36005024400,36005024400,19225,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005024500,NY,36005024500,36005024500,8310,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005024600,NY,36005024600,36005024600,24571,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005024700,NY,36005024700,36005024700,14660,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005024800,NY,36005024800,36005024800,22620,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005024900,NY,36005024900,36005024900,12964,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005025000,NY,36005025000,36005025000,20315,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005025100,NY,36005025100,36005025100,10182,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005025200,NY,36005025200,36005025200,23701,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005025300,NY,36005025300,36005025300,8728,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005025400,NY,36005025400,36005025400,22624,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005025500,NY,36005025500,36005025500,11047,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005025600,NY,36005025600,36005025600,17291,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005025700,NY,36005025700,36005025700,13345,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005025800,NY,36005025800,36005025800,14755,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005026100,NY,36005026100,36005026100,29847,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005026300,NY,36005026300,36005026300,13235,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005026400,NY,36005026400,36005026400,23882,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005026500,NY,36005026500,36005026500,8549,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005026601,NY,36005026601,36005026601,18638,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005026602,NY,36005026602,36005026602,21607,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005026700,NY,36005026700,36005026700,12192,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005026900,NY,36005026900,36005026900,13280,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005027101,NY,36005027101,36005027101,8881,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005027102,NY,36005027102,36005027102,8320,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005027300,NY,36005027300,36005027300,11903,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005027400,NY,36005027400,36005027400,22102,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005027600,NY,36005027600,36005027600,N/A,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005027700,NY,36005027700,36005027700,10844,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005027900,NY,36005027900,36005027900,19109,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005028100,NY,36005028100,36005028100,24855,2000,2000,Census,"New York (City, 2020)"
