change of median rent,College00_16,mdfami00_16,Geo_ID,NYC Neighborhood Tabulation Area name,,,GeoID_Name,"Per-Capita Income, with GEOID",GeoID_Name,Per cha of bla pop,,GeoID_Name,"Per-Capita Income, with GEOID",GeoID_Name,Per cha of bla pop
0.557692308,0.596,0.244862699,36005014400,Schuylerville-Throgs Neck-Edgewater Park,,,36005012500,21068,36005013500,-25.59,,,,,
1.444444444,0.179,0.310258646,36005014500,Claremont-Bathgate,,,36005012701,18361,36005013800,142.86,,,,,
0.597069597,1.276,0.211566674,36005014701,Claremont-Bathgate,,,36005012901,16033,36005014100,174.33,,,,,
0.831501832,0.899,0.631611459,36005014702,Claremont-Bathgate,,,36005013000,40097,36005014300,6.55,,,,,
1.002040816,1.477,0.61113656,36005014900,Morrisania-Melrose,,,36005013100,19606,36005014400,10.04,,,,,
0.766211604,0.505,1.225029904,36005015100,Morrisania-Melrose,,,36005013200,43889,36005014500,11.71,,,,,
0.630536131,0.574,0.21864707,36005015200,Schuylerville-Throgs Neck-Edgewater Park,,,36005013300,22721,36005014701,19.84,,,,,
1.432372506,1.391,0.134951977,36005015300,Crotona Park East,,,36005013500,14572,36005014702,-16.16,,,,,
1.076086957,1.086,-0.084407648,36005015500,Crotona Park East,,,36005013800,38862,36005014900,-6.95,,,,,
0.743055556,0.112,0.402150792,36005015700,Crotona Park East,,,36005014100,20464,36005015100,-25.53,,,,,
0.85467128,1.439,0.669115425,36005015800,Schuylerville-Throgs Neck-Edgewater Park,,,36005014300,12609,36005015200,N/A,,,,,
0.248387097,-0.030,-0.127570328,36005015900,Hunts Point,,,36005014400,21346,36005015300,49.77,,,,,
1.139064475,0.539,0.851988847,36005016000,Schuylerville-Throgs Neck-Edgewater Park,,,36005014500,25710,36005015500,-31.43,,,,,
0.02247191,0.794,0.112216619,36005016100,Crotona Park East,,,36005014701,11275,36005015700,-23.36,,,,,
0.407534247,0.534,0.426030102,36005016200,Schuylerville-Throgs Neck-Edgewater Park,,,36005014702,11373,36005015800,300,,,,,
0.673126615,0.379,0.296429268,36005016400,Schuylerville-Throgs Neck-Edgewater Park,,,36005014900,15099,36005015900,-52.46,,,,,
0.884751773,1.066,0.967206849,36005016500,Claremont-Bathgate,,,36005015100,17643,36005016000,161.9,,,,,
0.965474723,0.945,0.59494357,36005016600,Schuylerville-Throgs Neck-Edgewater Park,,,36005015200,37113,36005016100,-34.6,,,,,
0.613354037,15.650,1.196314404,36005016700,Claremont-Bathgate,,,36005015300,20652,36005016200,322.22,,,,,
0.347039474,1.526,0.561516487,36005016900,Claremont-Bathgate,,,36005015500,16769,36005016300,N/A,,,,,
0.41981982,1.123,-0.03536466,36005017300,East Concourse-Concourse Village,,,36005015700,21248,36005016400,541.67,,,,,
0.978835979,0.860,0.605103546,36005017500,East Concourse-Concourse Village,,,36005015800,31774,36005016500,-28.97,,,,,
1.111111111,2.224,0.397193176,36005017701,East Concourse-Concourse Village,,,36005015900,19613,36005016600,186.51,,,,,
1.025089606,1.900,1.309521189,36005017702,East Concourse-Concourse Village,,,36005016000,39726,36005016700,54.46,,,,,
0.88590604,0.982,0.732952495,36005017901,East Concourse-Concourse Village,,,36005016100,16730,36005016900,-21.68,,,,,
0.874161074,0.700,0.667468431,36005017902,East Concourse-Concourse Village,,,36005016200,31502,36005017100,N/A,,,,,
0.721077655,-0.291,0.185415703,36005018101,East Concourse-Concourse Village,,,36005016300,N/A,36005017300,-43.97,,,,,
0.760697306,1.282,0.530383952,36005018102,East Concourse-Concourse Village,,,36005016400,32314,36005017500,-8.76,,,,,
0.645112782,0.719,0.045835309,36005018301,East Concourse-Concourse Village,,,36005016500,15502,36005017701,-8.06,,,,,
0.771428571,-0.113,-0.08553817,36005018302,East Concourse-Concourse Village,,,36005016600,38006,36005017702,-20.5,,,,,
0.776041667,0.675,0.528918399,36005018400,Schuylerville-Throgs Neck-Edgewater Park,,,36005016700,21899,36005017901,18.79,,,,,
