Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,"Employment in Management, Business, Science, and Arts Occupations",Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,cocc_manbussciart,TimeFrame,GeoVintage,Source,Location
Census Tract,36005018302,NY,36005018302,36005018302,624,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018400,NY,36005018400,36005018400,569,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018501,NY,36005018501,36005018501,246,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018502,NY,36005018502,36005018502,194,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018900,NY,36005018900,36005018900,795,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005019300,NY,36005019300,36005019300,648,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005019400,NY,36005019400,36005019400,415,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005019500,NY,36005019500,36005019500,519,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005019700,NY,36005019700,36005019700,622,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005019900,NY,36005019900,36005019900,883,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020000,NY,36005020000,36005020000,344,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020100,NY,36005020100,36005020100,235,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020200,NY,36005020200,36005020200,204,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020400,NY,36005020400,36005020400,420,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020501,NY,36005020501,36005020501,511,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020502,NY,36005020502,36005020502,405,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020601,NY,36005020601,36005020601,208,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020900,NY,36005020900,36005020900,462,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021001,NY,36005021001,36005021001,1333,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021002,NY,36005021002,36005021002,1482,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021100,NY,36005021100,36005021100,337,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021200,NY,36005021200,36005021200,661,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021301,NY,36005021301,36005021301,158,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021302,NY,36005021302,36005021302,340,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021501,NY,36005021501,36005021501,362,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021502,NY,36005021502,36005021502,300,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021601,NY,36005021601,36005021601,411,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021602,NY,36005021602,36005021602,1025,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021700,NY,36005021700,36005021700,381,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021800,NY,36005021800,36005021800,503,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005021900,NY,36005021900,36005021900,28,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022000,NY,36005022000,36005022000,145,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022101,NY,36005022101,36005022101,519,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022102,NY,36005022102,36005022102,338,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022200,NY,36005022200,36005022200,221,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022300,NY,36005022300,36005022300,538,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022401,NY,36005022401,36005022401,409,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022403,NY,36005022403,36005022403,553,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022404,NY,36005022404,36005022404,709,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022500,NY,36005022500,36005022500,634,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022701,NY,36005022701,36005022701,446,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022702,NY,36005022702,36005022702,91,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022703,NY,36005022703,36005022703,377,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022800,NY,36005022800,36005022800,1047,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022901,NY,36005022901,36005022901,530,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022902,NY,36005022902,36005022902,545,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023000,NY,36005023000,36005023000,307,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023100,NY,36005023100,36005023100,57,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023200,NY,36005023200,36005023200,213,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023301,NY,36005023301,36005023301,290,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023302,NY,36005023302,36005023302,222,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023501,NY,36005023501,36005023501,234,2017-2021,2020,Census,"New York (City, 2020)"
