Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Percent Black or African American Population,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,ppopbk,TimeFrame,GeoVintage,Source,Location
Census Tract,36005018502,NY,36005018502,36005018502,44.72,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005018900,NY,36005018900,36005018900,32.86,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005019300,NY,36005019300,36005019300,38.07,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005019400,NY,36005019400,36005019400,17.75,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005019500,NY,36005019500,36005019500,33.61,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005019700,NY,36005019700,36005019700,22.89,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005019900,NY,36005019900,36005019900,28.83,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005020000,NY,36005020000,36005020000,12.44,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005020100,NY,36005020100,36005020100,36.71,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005020200,NY,36005020200,36005020200,11.15,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005020400,NY,36005020400,36005020400,14.03,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005020501,NY,36005020501,36005020501,38.41,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005020502,NY,36005020502,36005020502,35.17,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005020601,NY,36005020601,36005020601,14.01,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005020900,NY,36005020900,36005020900,35.06,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005021001,NY,36005021001,36005021001,49.46,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005021002,NY,36005021002,36005021002,46.49,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005021100,NY,36005021100,36005021100,37.65,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005021200,NY,36005021200,36005021200,33.16,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005021301,NY,36005021301,36005021301,25.08,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005021302,NY,36005021302,36005021302,41.17,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005021501,NY,36005021501,36005021501,28.98,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005021502,NY,36005021502,36005021502,31.64,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005021601,NY,36005021601,36005021601,25.44,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005021602,NY,36005021602,36005021602,35.82,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005021700,NY,36005021700,36005021700,44.27,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005021800,NY,36005021800,36005021800,27.29,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005021900,NY,36005021900,36005021900,23.81,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005022000,NY,36005022000,36005022000,31.14,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005022101,NY,36005022101,36005022101,25.09,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005022102,NY,36005022102,36005022102,16.75,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005022200,NY,36005022200,36005022200,13.71,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005022300,NY,36005022300,36005022300,20.17,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005022401,NY,36005022401,36005022401,17.01,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005022403,NY,36005022403,36005022403,19.91,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005022404,NY,36005022404,36005022404,22.34,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005022500,NY,36005022500,36005022500,31.63,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005022701,NY,36005022701,36005022701,38,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005022702,NY,36005022702,36005022702,26.62,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005022703,NY,36005022703,36005022703,17.66,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005022800,NY,36005022800,36005022800,17.49,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005022901,NY,36005022901,36005022901,29.81,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005022902,NY,36005022902,36005022902,27.61,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005023000,NY,36005023000,36005023000,15.23,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005023100,NY,36005023100,36005023100,32.45,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005023200,NY,36005023200,36005023200,14.73,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005023301,NY,36005023301,36005023301,35.59,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005023302,NY,36005023302,36005023302,18.27,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005023501,NY,36005023501,36005023501,20.62,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005023502,NY,36005023502,36005023502,24.13,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005023600,NY,36005023600,36005023600,14.29,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005023702,NY,36005023702,36005023702,22.05,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005023703,NY,36005023703,36005023703,24.3,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005023704,NY,36005023704,36005023704,25.19,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005023800,NY,36005023800,36005023800,10.98,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005023900,NY,36005023900,36005023900,23.66,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005024000,NY,36005024000,36005024000,25.07,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005024100,NY,36005024100,36005024100,36.23,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005024300,NY,36005024300,36005024300,29.44,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005024400,NY,36005024400,36005024400,6.61,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005024501,NY,36005024501,36005024501,23.78,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005024502,NY,36005024502,36005024502,26.44,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005024600,NY,36005024600,36005024600,9.01,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005024700,NY,36005024700,36005024700,49.35,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005024800,NY,36005024800,36005024800,10.3,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005024900,NY,36005024900,36005024900,N/A,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005025000,NY,36005025000,36005025000,3.22,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005025100,NY,36005025100,36005025100,24.71,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005025200,NY,36005025200,36005025200,8.46,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005025300,NY,36005025300,36005025300,20.58,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005025400,NY,36005025400,36005025400,4.72,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005025500,NY,36005025500,36005025500,19.33,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005025600,NY,36005025600,36005025600,15.78,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005025700,NY,36005025700,36005025700,21.12,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005026100,NY,36005026100,36005026100,49.56,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005026300,NY,36005026300,36005026300,15.85,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005026400,NY,36005026400,36005026400,9.45,2020,2020,Census,"New York (City, 2020)"
