GeoID_Name,"Per-Capita Income, with GEOID"
36047091200,17278
36047091600,15922
36047091800,30811
36047092000,19652
36047092200,27876
36047092400,15045
36047092800,41554
36047093000,36058
36047093200,28382
36047093400,38597
36047093600,32791
36047093800,33828
36047094401,40987
36047094402,15985
36047094600,38314
36047095000,36422
36047095400,42102
36047095600,33518
36047095800,32127
36047096000,N/A
36047096200,28858
36047096400,31714
36047096600,25630
36047096800,31231
36047097000,31051
36047097400,27939
36047098200,16669
36047098400,33197
36047098600,31617
36047098800,30554
36047099000,31373
36047099200,29273
36047099400,31934
36047099600,30874
36047099800,32214
36047100400,30778
36047100600,32788
36047100800,33750
36047101000,32263
36047101200,35745
36047101400,36847
36047101600,38945
36047101800,46081
36047102000,42037
36047102200,32012
36047102400,30610
36047102600,36846
36047102801,41191
36047102802,N/A
36047103401,11925
36047103402,N/A
36047105801,21006
36047105804,30240
36047107001,27810
36047107002,N/A
36047107003,N/A
36047107800,34723
36047109800,21683
36047110400,20672
36047110600,14454
36047111000,15060
36047111600,24795
36047111800,24122
36047112000,25082
36047112200,17228
36047112400,22474
36047112600,25639
36047112800,26488
36047113000,24523
36047113200,23469
36047113400,16492
36047114201,29697
36047114202,22232
36047114400,23223
36047114600,25690
36047115000,21913
36047115200,19968
36047115600,14578
36047115800,22622
36047116000,19115
36047116200,24569
36047116400,22841
36047116600,28376
36047116800,27301
36047117000,16367
36047117201,27064
36047117202,29530
36047117400,20621
36047117601,28626
36047117602,23946
36047117800,16901
36047118000,N/A
36047118201,28148
36047118202,24667
36047118400,37555
36047118600,22199
36047118800,25373
36047119000,21661
36047119200,22946
36047119400,18913
36047119600,20433
36047119800,22418
36047120000,19695
36047120200,22946
36047120801,29631
36047120802,14956
36047120803,24549
36047121000,10858
36047121400,11080
36047122000,26846
36047123700,10967
36047150200,54154
36047152200,168639
36047990100,N/A
36061000100,N/A
36061000201,15451
36061000202,32807
36061000500,N/A
36061000600,20384
36061000700,123192
36061000800,26968
36061000900,137740
36061001001,67513
36061001002,15271
36061001200,60432
36061001300,123558
36061001401,73745
36061001402,51484
36061001501,80703
36061001502,105233
36061001600,45396
36061001800,43288
36061002000,21187
36061002100,177315
36061002201,27782
36061002202,69267
36061002400,11437
36061002500,15267
36061002601,29334
36061002602,73113
36061002700,52255
36061002800,68130
36061002901,2018
36061002902,28120
36061003001,68977
36061003002,63435
36061003100,73686
36061003200,76736
36061003300,208525
36061003400,64822
36061003601,50357
36061003602,80492
36061003700,236017
36061003800,80453
36061003900,216267
36061004001,83670
36061004002,91332
36061004100,65099
36061004200,67759
36061004300,122135
36061004400,82360
36061004500,100685
36061004700,124764
36061004800,90807
36061004900,150783
36061005000,146617
36061005200,134372
36061005400,152543
36061005501,92345
36061005502,130337
36061005600,170370
36061005700,145651
36061005800,186190
36061005900,124415
36061006000,124575
36061006100,165209
36061006200,43787
36061006300,145396
36061006400,90225
36061006500,81232
36061006600,90303
36061006700,123706
36061006800,100293
36061006900,168090
36061007001,82676
36061007002,86262
36061007100,139761
36061007200,129400
36061007300,139793
36061007400,147959
36061007500,125897
36061007600,105331
36061007700,142622
36061007800,102005
36061007900,146967
36061008000,131365
36061008100,127853
36061008200,138317
36061008300,75266
36061008400,157022
36061008601,112009
36061008602,N/A
36061008603,173810
36061008700,133493
36061008800,102510
36061008900,100178
36061009000,130853
36061009100,140633
36061009200,133615
36061009300,81902
36061009400,86269
36061009500,107721
36061009600,162308
36061009700,61502
36061009800,120166
36061009901,243377
36061009902,136108
36061009903,101989
36061010000,102998
36061010100,97696
36061010200,83891
36061010300,105443
36061010400,153944
36061010601,229033
36061010602,114562
36061010801,131008
36061010802,101153
36061010803,183026
36061010900,82743
36061011000,109641
36061011100,92928
36061011201,180681
36061011202,260489
36061011203,158249
36061011300,38039
36061011401,285751
36061011402,182111
36061011500,102990
36061011600,78414
36061011700,113867
36061011800,145358
36061011900,21718
36061012000,175747
36061012101,55427
36061012102,54087
36061012200,190289
36061012400,94286
36061012500,160985
36061012601,95986
36061012602,145485
36061012700,102520
36061012800,146201
36061012901,87619
36061012902,80294
36061013000,182483
36061013100,103208
36061013201,66661
36061013202,65744
36061013203,72069
36061013300,110636
36061013400,119580
36061013501,68091
36061013502,97243
36061013601,165076
36061013602,120718
36061013603,95255
36061013604,112680
36061013700,194259
36061013800,114421
36061013900,92007
