Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,"Employment in Management, Business, Science, and Arts Occupations",Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,cocc_manbussciart,TimeFrame,GeoVintage,Source,Location
Census Tract,36005023704,NY,36005023704,36005023704,246,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005023800,NY,36005023800,36005023800,211,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005023900,NY,36005023900,36005023900,380,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005024000,NY,36005024000,36005024000,267,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005024100,NY,36005024100,36005024100,178,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005024300,NY,36005024300,36005024300,352,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005024400,NY,36005024400,36005024400,530,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005024501,NY,36005024501,36005024501,207,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005024502,NY,36005024502,36005024502,147,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005024600,NY,36005024600,36005024600,411,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005024700,NY,36005024700,36005024700,187,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005024800,NY,36005024800,36005024800,806,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005024900,NY,36005024900,36005024900,0,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005025000,NY,36005025000,36005025000,302,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005025100,NY,36005025100,36005025100,436,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005025200,NY,36005025200,36005025200,435,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005025300,NY,36005025300,36005025300,290,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005025400,NY,36005025400,36005025400,391,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005025500,NY,36005025500,36005025500,424,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005025600,NY,36005025600,36005025600,180,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005025700,NY,36005025700,36005025700,172,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005026100,NY,36005026100,36005026100,819,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005026300,NY,36005026300,36005026300,220,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005026400,NY,36005026400,36005026400,578,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005026500,NY,36005026500,36005026500,515,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005026601,NY,36005026601,36005026601,492,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005026602,NY,36005026602,36005026602,797,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005026701,NY,36005026701,36005026701,407,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005026702,NY,36005026702,36005026702,524,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005026900,NY,36005026900,36005026900,309,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005027300,NY,36005027300,36005027300,725,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005027401,NY,36005027401,36005027401,667,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005027402,NY,36005027402,36005027402,709,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005027600,NY,36005027600,36005027600,7,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005027700,NY,36005027700,36005027700,407,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005027900,NY,36005027900,36005027900,1027,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005028100,NY,36005028100,36005028100,605,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005028300,NY,36005028300,36005028300,259,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005028400,NY,36005028400,36005028400,0,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005028500,NY,36005028500,36005028500,549,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005028600,NY,36005028600,36005028600,220,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005028700,NY,36005028700,36005028700,688,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005028800,NY,36005028800,36005028800,564,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005028900,NY,36005028900,36005028900,602,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005029301,NY,36005029301,36005029301,620,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005029302,NY,36005029302,36005029302,1855,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005029500,NY,36005029500,36005029500,1304,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005029600,NY,36005029600,36005029600,651,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005029700,NY,36005029700,36005029700,1096,2007-2011,2010,Census,"New York (City, 2020)"
